,P
2022-01-01 00:00:00,0.0
2022-01-01 00:15:00,0.0
2022-01-01 00:30:00,0.0
2022-01-01 00:45:00,0.0
2022-01-01 01:00:00,0.0
2022-01-01 01:15:00,0.0
2022-01-01 01:30:00,0.0
2022-01-01 01:45:00,0.0
2022-01-01 02:00:00,0.0
2022-01-01 02:15:00,0.0
2022-01-01 02:30:00,0.0
2022-01-01 02:45:00,0.0
2022-01-01 03:00:00,0.0
2022-01-01 03:15:00,0.0
2022-01-01 03:30:00,0.0
2022-01-01 03:45:00,0.0
2022-01-01 04:00:00,0.0
2022-01-01 04:15:00,0.0
2022-01-01 04:30:00,0.0
2022-01-01 04:45:00,0.0
2022-01-01 05:00:00,0.0
2022-01-01 05:15:00,0.0002875
2022-01-01 05:30:00,0.000575
2022-01-01 05:45:00,0.0008625
2022-01-01 06:00:00,0.00115
2022-01-01 06:15:00,0.010425
2022-01-01 06:30:00,0.019700000000000002
2022-01-01 06:45:00,0.028975
2022-01-01 07:00:00,0.03825
2022-01-01 07:15:00,0.07859
2022-01-01 07:30:00,0.11893000000000001
2022-01-01 07:45:00,0.15927
2022-01-01 08:00:00,0.19961
2022-01-01 08:15:00,0.212
2022-01-01 08:30:00,0.22438999999999998
2022-01-01 08:45:00,0.23678
2022-01-01 09:00:00,0.24916999999999997
2022-01-01 09:15:00,0.3343925
2022-01-01 09:30:00,0.41961499999999996
2022-01-01 09:45:00,0.5048374999999999
2022-01-01 10:00:00,0.5900599999999999
2022-01-01 10:15:00,0.6023099999999999
2022-01-01 10:30:00,0.61456
2022-01-01 10:45:00,0.62681
2022-01-01 11:00:00,0.63906
2022-01-01 11:15:00,0.6414124999999999
2022-01-01 11:30:00,0.6437649999999999
2022-01-01 11:45:00,0.6461175
2022-01-01 12:00:00,0.64847
2022-01-01 12:15:00,0.65325
2022-01-01 12:30:00,0.65803
2022-01-01 12:45:00,0.66281
2022-01-01 13:00:00,0.66759
2022-01-01 13:15:00,0.645455
